%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
22952000,0.0,0.610865,0.00431122,0.0,0.953715,-0.000648204,0.300705,0.00205584,0.0,0.0,-0.08,1,0,0,0,0,0
23052000,0.0,0.610865,0.00409315,0.0,0.953715,-0.000615417,0.300705,0.00195185,0.0,0.0,-0.08,1,0,0,0,0,0
23152000,0.0,0.610865,0.00436305,0.0,0.953715,-0.000655997,0.300705,0.00208056,0.0,0.0,-0.08,1,0,0,0,0,0
23252000,0.0,0.610865,0.00449366,0.0,0.953715,-0.000675635,0.300705,0.00214284,0.0,0.0,-0.08,1,0,0,0,0,0
23352000,0.0,0.610865,0.00466578,0.0,0.953714,-0.000701514,0.300705,0.00222492,0.0,0.0,-0.08,1,0,0,0,0,0
23452000,0.0,0.610865,0.00499763,0.0,0.953714,-0.000751407,0.300705,0.00238316,0.0,0.0,-0.08,1,0,0,0,0,0
23552000,0.0,0.610865,0.00495917,0.0,0.953714,-0.000745626,0.300705,0.00236482,0.0,0.0,-0.08,1,0,0,0,0,0
23652000,0.0,0.610865,0.00494947,0.0,0.953714,-0.000744167,0.300705,0.0023602,0.0,0.0,-0.08,1,0,0,0,0,0
23752000,0.0,0.610865,0.00499307,0.0,0.953714,-0.000750721,0.300705,0.00238098,0.0,0.0,-0.08,1,0,0,0,0,0
23852000,0.0,0.610865,0.00488428,0.0,0.953714,-0.000734365,0.300705,0.00232911,0.0,0.0,-0.08,1,0,0,0,0,0
23956000,0.0,0.610865,0.00470582,0.0,0.953714,-0.000707533,0.300705,0.00224401,0.0,0.0,-0.08,1,0,0,0,0,0
24052000,0.0,0.610865,0.00470519,0.0,0.953714,-0.000707439,0.300705,0.00224371,0.0,0.0,-0.08,1,0,0,0,0,0
24156000,0.0,0.610865,0.00477068,0.0,0.953714,-0.000717284,0.300705,0.00227493,0.0,0.0,-0.08,1,0,0,0,0,0
24256000,0.0,0.610865,0.00508333,0.0,0.953714,-0.000764293,0.300705,0.00242403,0.0,0.0,-0.08,1,0,0,0,0,0
24356000,0.0,0.610865,0.004974,0.0,0.953714,-0.000747855,0.300705,0.00237189,0.0,0.0,-0.08,1,0,0,0,0,0
24456000,0.0,0.610865,0.00539001,0.0,0.953713,-0.000810402,0.300705,0.00257027,0.0,0.0,-0.08,1,0,0,0,0,0
24552000,0.0,0.610865,0.00565379,0.0,0.953713,-0.000850063,0.300705,0.00269606,0.0,0.0,-0.08,1,0,0,0,0,0
24652000,0.0,0.610865,0.00553408,0.0,0.953713,-0.000832064,0.300705,0.00263897,0.0,0.0,-0.08,1,0,0,0,0,0
24752000,0.0,0.610865,0.00545206,0.0,0.953713,-0.000819732,0.300705,0.00259986,0.0,0.0,-0.08,1,0,0,0,0,0
24856000,0.0,0.610865,0.00579321,0.0,0.953713,-0.000871025,0.300705,0.00276254,0.0,0.0,-0.08,1,0,0,0,0,0
24956000,0.0,0.610865,0.00597975,0.0,0.953713,-0.000899072,0.300705,0.00285149,0.0,0.0,-0.08,1,0,0,0,0,0
25052000,0.0,0.610865,0.00606243,0.0,0.953713,-0.000911502,0.300704,0.00289092,0.0,0.0,-0.08,1,0,0,0,0,0
25152000,0.0,0.610865,0.00622064,0.0,0.953712,-0.00093529,0.300704,0.00296636,0.0,0.0,-0.08,1,0,0,0,0,0
25248000,0.0,0.610865,0.00621021,0.0,0.953712,-0.000933721,0.300704,0.00296138,0.0,0.0,-0.08,1,0,0,0,0,0
25352000,0.0,0.610865,0.00640802,0.0,0.953712,-0.000963463,0.300704,0.00305571,0.0,0.0,-0.08,1,0,0,0,0,0
25452000,0.0,0.610865,0.00640335,0.0,0.953712,-0.000962761,0.300704,0.00305349,0.0,0.0,-0.08,1,0,0,0,0,0
